-336 283 2196 -651 920 2350 -48 -293 2327 
-473 1216 2290 117 -449 2314 -109 513 2193 
483 -2169 2429 -114 -108 2287 -42 556 2352 
-144 -173 2302 -294 658 2365 319 -986 2188 
-155 849 2145 482 -1768 2282 26 -260 2536 
-314 901 2337 35 26 2127 -314 902 2410 
-289 -402 2206 141 711 2175 242 -841 2377 
-491 -76 2404 -237 -318 2420 93 388 2228 
-179 732 2332 230 -33 2335 353 948 2093 
129 -838 2401 44 464 2088 37 -777 2518 
-11 319 2415 -404 462 2218 -442 41 1945 
-58 1109 2352 -77 -589 2233 -328 918 2207 
-69 -634 2270 86 229 2135 -46 -13 2323 
-117 -374 2499 -484 995 2337 -213 -468 2270 
-89 931 1956 -66 -1164 2340 -105 812 2487 
-301 -1347 2255 -226 1255 2239 -385 -1562 2404 
-78 908 2191 -437 -875 2344 -231 258 2260 
-183 -130 2172 -493 -183 2108 -617 1146 2688 
-212 -773 2169 -336 1050 2284 -364 -1532 2235 
-464 1298 2446 -181 -1983 2364 -82 827 2410 
-531 -972 1794 -453 504 2080 -853 -149 1845 
-196 -184 2315 168 1179 2419 274 -378 2183 
-181 713 2218 -934 -964 2558 192 365 2824 
-332 -636 2681 -206 175 2153 -267 252 2416 
-452 -408 2095 -269 940 2369 -250 -1124 2371 
-221 827 2279 -853 -1553 2635 -243 370 2312 
-541 -1903 2633 -453 -149 2453 -748 750 2276 
-377 -303 2350 -364 1182 2299 47 -825 2097 
-209 1339 2490 -378 -1511 2236 -301 1644 2402 
-827 -1637 2641 -495 1256 2307 -334 -1959 1960 
-291 584 2437 -556 -81 1740 -307 -118 2277 
-556 825 2484 -291 -59 2219 -863 593 1877 
-261 -72 2300 -421 429 2307 -676 -638 2185 
-347 1211 2332 -321 -382 1887 -386 458 2488 
-510 -755 2310 -692 849 2689 -566 -720 2139 
-391 1334 2426 -308 -1276 2202 -317 1606 2373 
-357 -1623 2101 -547 687 2087 -690 -878 1412 
-445 -148 2017 -408 585 2089 -458 -857 2083 
-516 1548 2225 -27 -2211 2266 -72 474 2056 
-281 -297 1576 -417 -178 2229 -108 504 2474 
-290 -833 2560 -513 1371 2605 -593 -1452 2064 
-579 287 2043 -516 408 2277 -314 -689 2114 
-239 1267 2634 -242 -1851 2276 -313 242 1976 
-734 -235 1718 -370 -354 1949 -536 922 2306 
-426 -1095 2363 -767 1707 3140 -329 -1822 2182 
-632 357 2112 -353 -429 2043 -536 -311 2109 
-194 848 2714 -151 -1639 2404 -1067 1882 2782 
-255 -1738 2669 -647 995 2037 -454 -191 2130 
-479 -578 2200 54 381 2487 -392 -1181 2260 
-384 1805 2568 7 -1650 2133 -294 377 2143 
-486 -931 2163 -70 39 2346 -550 802 2360 
-407 -1174 2198 -501 1646 2125 -502 -1784 3085 
105 1045 2607 -287 -37 1736 -432 -470 2030 
-534 1367 2546 -216 -1809 2239 -609 1252 2672 
-1149 -1637 2738 -534 846 2235 -323 -35 1676 
-287 -327 1928 -277 1166 2549 -21 -1831 2261 
-492 1663 2394 -621 -1664 1950 -441 -95 2216 
-359 78 2192 -368 -722 2036 -508 987 2567 
-65 -1183 2275 -722 1218 2187 -621 -302 2047 
-480 -247 2406 -488 1045 2484 -71 -1226 2366 
-649 1108 1925 -559 -354 1803 -310 -255 2066 
-409 902 2327 -281 -906 2238 -251 1421 2538 
-201 -1867 2358 -317 803 2185 -601 218 2085 
-511 -231 2211 -362 818 2451 44 -1326 2513 
-490 1982 2620 -406 -1806 2444 -476 519 2421 
-720 -394 2361 -574 -104 1976 -188 679 2515 
-6 -1385 2231 -390 1840 2332 -564 -1354 2481 
-489 806 2125 -311 302 2085 -334 -464 2007 
-395 1201 2439 -36 -1809 2083 -514 979 2344 
